Case;Subcase;total_costs;carbon_costs;carbon_revenues;technology_cost;network_cost;import_cost;export_revenues;violation_cost;net_emissions;positive_emissions;negative_emissions;net_emissions_from_technologies;net_emissions_from_carriers;net_emissions_from_networks;time_total;lb;ub;absolute gap;objective;solver_status;pareto_point;monte_carlo_run;time_stage;normalized_costs;normalized_emissions;delta_cost;delta_emissions;abatemente_cost;curtailment_total;generic_production_total;import_el;export_h2;Offshore_Wind;Onshore_Wind;PV;PowerPlant_Coal_existing;PowerPlant_Gas_existing;PowerPlant_Nuclear_existing;PowerPlant_Oil_existing;Storage_PumpedHydro_Closed_existing;Storage_PumpedHydro_Open_existing;Storage_PumpedHydro_Reservoir_existing;Storage_Battery_new;Storage_Battery_Offshore;Electrolyser_PEM;FuelCell;Storage_Hydrogen;Electrolyser_PEM_offshore;electricityAC;electricityAC_existing;electricityDC;electricityDC_existing;hydrogenPipelineOffshore;hydrogenPipelineOnshore_new;hydrogenPipelineOnshore_re;Offshore_Wind_size;Storage_PumpedHydro_Open_existing_size;PowerPlant_Gas_existing_size;Storage_PumpedHydro_Closed_existing_size;PowerPlant_Coal_existing_size;Onshore_Wind_size;PowerPlant_Nuclear_existing_size;PV_size;PowerPlant_Oil_existing_size;Storage_PumpedHydro_Reservoir_existing_size;Storage_Battery_new_size;Storage_Battery_Offshore_size;Storage_Hydrogen_size;Electrolyser_PEM_size;FuelCell_size;Electrolyser_PEM_offshore_size;h2_emissions;total_emissions;electricity_emissions;hydrogen_costs_smr;total_costs_with_smr;electricity_costs
Grid Expansion;offshore only;24670382925;2497644576;0;14197745139;2645036475;5329956736;0;0;24976445.76;24976445.76;0;24957964.68;18481.0734;0;2247.29;24670.38293;24670.38293;0;costs;optimal;0;0;0;0.760878722;0.848050226;-7753158694;-100927133.8;76.81936846;20.07248846;1086.948342;0.023101342;0;159.8488458;83.12443292;0.025278309;0.189652769;80.92954476;68.86526253;0.005880589;28.66953002;153.3471676;0.938180976;;;;;;;0;42811.90277;41886.01131;19979.23095;;;;40.59178894;89994.178;89.482;662.01;17.042;29.89300681;11.891;0.049534403;0.851;258.578;;;;;;;81796113.3;106772559.1;24976445.76;36800000000;61470382925;24670382925
Grid Expansion;no Border;31171627400;3816269022;0;17079046786;2109006082;8167305509;0;0;38162690.22;38162690.22;0;37964873.07;197817.1551;0;5539.839;31171.6274;31171.6274;0;costs;optimal;0;0;0;0.961388727;0.952783106;-1251914220;-87740889.3;14.26831018;41.27429576;1065.746535;0.247271444;0;213.1538936;20.35850226;2.534363328;1.215180085;120.7805195;51.44305834;0.018274812;28.41227093;150.6114607;0.940279588;;;;;;;7163.052038;42811.90277;22955.13346;19979.23095;;;;61.62407358;89994.178;89.482;662.01;17.042;15.85364391;11.891;3.16170329;0.851;258.578;;;;;;;81796113.3;119958803.5;38162690.22;36800000000;67971627400;31171627400
Baseline;Baseline;32423541620;4410746622;0;17060615117;1500004033;9452175847;0;0;44107466.22;44107466.22;0;43885373.68;222092.542;0;1450.998;32423.54162;32423.54162;0;costs;optimal;0;0;0;1;1;0;-81796113.3;0;45.03529733;1061.985533;0.277615677;0;182.9398236;27.15022875;1.53225E-08;1.288231436;139.9120426;59.19007038;0.018041683;26.83875924;150.2105779;0.940279594;;;;;;;;42811.90277;19023.02269;19979.23095;;;;57.18607766;89994.178;89.482;662.01;17.042;24.31304401;11.891;2.86676E-08;0.851;258.578;;;;;;;81796113.3;125903579.5;44107466.22;36800000000;69223541620;32423541620
Storage;onshore only;30473655320;4683702344;0;14190787291;1466779587;10132386098;0;0;46837023.44;46837023.44;0;46525503.97;311519.4683;0;2100.862;30473.65532;30473.65532;0;costs;optimal;0;0;0;0.93986202;1.021679743;-1949886300;-79066556.08;24.66132836;44.28967628;1062.731154;0.389399335;0;189.1541796;5.63728156;7.52699E-08;1.265786594;148.5805481;65.00970834;0.01782201;26.51572103;150.2067026;0.940279591;1.678996449;;;;;;;42811.90277;19283.82395;19979.23095;;;;54.24652019;89994.178;89.482;662.01;17.042;1.711429786;11.891;1.40178E-07;0.851;258.578;5.561649824;;;;;;81796113.3;128633136.7;46837023.44;36800000000;67273655320;30473655320
Storage;offshore only;30574555478;4697147780;0;14271108729;1443653759;10162645210;0;0;46971477.8;46971477.8;0;46653675.86;317801.9382;0;3094.412;30574.55548;30574.55548;0;costs;optimal;0;0;0;0.942973961;1.022747658;-1848986142;-78932101.72;23.42502094;44.15286655;1062.867964;0.397252423;0;188.7715014;5.553219104;3.33872E-08;1.295870991;148.92224;65.00767966;0.018565799;26.4447515;150.2087817;0.940279593;;1.621569182;;;;;;42811.90277;18513.78434;19979.23095;;;;54.16861851;89994.178;89.482;662.01;17.042;1.685909078;11.891;5.85459E-08;0.851;258.578;;5.678637273;;;;;81796113.3;128767591.1;46971477.8;36800000000;67374555478;30574555478
Storage;all;30505058361;4693090701;0;14204750236;1451697182;10155520242;0;0;46930907.01;46930907.01;0;46615406.28;315500.7348;0;4682.506;30505.05836;30505.05836;0;costs;optimal;0;0;0;0.940830546;1.022425421;-1918483259;-78972672.51;24.29300144;44.31208072;1062.70875;0.394375919;0;188.8242927;5.590217481;3.97631E-08;1.272732992;148.8574509;64.99340661;0.0173713;26.45095158;150.1998855;0.940279592;1.67053134;1.28741E-06;;;;;;42811.90277;18793.32124;19979.23095;;;;54.17251427;89994.178;89.482;662.01;17.042;1.697141487;11.891;7.44081E-08;0.851;258.578;5.537168107;9.8268E-07;;;;;81796113.3;128727020.3;46930907.01;36800000000;67305058361;30505058361
Grid Expansion;all;24478323952;2515696801;0;14031197972;2561323517;5370105662;0;0;25156968.01;25156968.01;0;25137418.22;19549.78522;0;6414.765;24478.32395;24478.32395;0;costs;optimal;0;0;0;0.75495528;0.849484039;-7945217668;-100746611.5;78.86337327;18.25384834;1088.766982;0.024437232;0;154.2642414;84.02702026;5.2073E-08;0.189083072;81.52144357;68.92902865;0.003404005;28.26552196;153.425714;0.940279591;;;;;;;3462.743821;42811.90277;38213.42136;19979.23095;;;;39.34598051;89994.178;89.482;662.01;17.042;31.04545626;11.891;9.7226E-08;0.851;258.578;;;;;;;81796113.3;106953081.3;25156968.01;36800000000;61278323952;24478323952
Grid Expansion;onshore only;31262919863;3774232263;0;17313048823;2096454028;8079184749;0;0;37742322.63;37742322.63;0;37549583.47;192739.168;0;5575.569;31262.91986;31262.91986;0;costs;optimal;0;0;0;0.96420435;0.9494443;-1160621757;-88161256.89;13.16475963;40.96530804;1066.055522;0.24092396;0;212.6542752;23.62979908;0.847653871;1.172007162;119.533477;51.6981202;0.018181955;28.43706857;150.6344804;0.94027938;;;;;;;9370.636218;42811.90277;20445.30535;19979.23095;;;;61.8608775;89994.178;89.482;662.01;17.042;18.4563656;11.891;1.08658538;0.851;258.578;;;;;;;81796113.3;119538435.9;37742322.63;36800000000;68062919863;31262919863
Hydrogen;no hydrogen offshore;29933953054;4121808866;0;18426816296;1690525674;8868687611;3173885393;0;34470458.3;41218088.66;6747630.362;40990802.19;-6520343.892;0;26303.316;29909796743;29933953054;24156311.45;costs;optimal;0;0;0;0.923216637;0.923457236;-2489588566;-91433121.22;27.22852002;10.96302372;1096.057807;0.284108088;62.47805891;267.133357;3.243301159;0;1.112476132;134.5863463;76.74983567;0.014379773;25.26187594;150.3804814;0.940279595;;;69.11147257;0.144469898;6.6627425;;;42811.90277;21456.34641;19979.23095;0;0;1944.591373;62.40837669;89994.178;89.482;662.01;17.042;0.984638025;11.891;0;0.851;258.578;;;119.4448911;28.0329707;2.79324967;;75048482.94;116266571.6;41218088.66;33761067215;63695020269;29933953054
Hydrogen;local use only;30076740864;4177857213;0;18330820362;1623466503;8990857252;3046260465;0;35302270.35;41778572.13;6476301.776;41543867.25;-6241596.902;0;5985.913;30076740864;30076740864;0;costs;optimal;0;0;0;0.927620468;0.930063975;-2346800755;-90601309.17;25.90250385;12.86550303;1094.155327;0.293381092;59.96575719;259.2206184;4.02842488;0;1.145527559;134.6022932;76.87081277;0.014467;25.96993524;150.4166235;0.940279595;;;63.57169394;0.150884669;8.075865081;;;42811.90277;20686.21939;19979.23095;;;;62.33332383;89994.178;89.482;662.01;17.042;1.238363044;11.891;0;0.851;258.578;;;287.38665;26.49663878;2.795391335;;75319811.52;117098383.7;41778572.13;33883265570;63960006435;30076740864
Hydrogen;no storage;30563652322;4138748677;0;19088354245;2190303964;8890986930;3744741494;0;33426225.33;41387486.77;7961261.443;41159780.53;-7733555.198;0;19417.004;30270.22589;30563.65232;293.4264307;costs;optimal;0;0;0;0.942637688;0.915163326;-1859889298;-92477354.2;20.11183514;10.0689936;1096.951837;0.284632806;73.71538373;274.1396085;7.05815307;0;1.197771735;131.8289667;76.53304257;0.017710241;25.22076513;150.3531782;0.940279595;;;74.29248416;0.078221018;;0.820670663;;42811.90277;20984.89464;19979.23095;4556.391668;0;2156.787185;64.18844612;89994.178;89.482;662.01;17.042;2.364876339;11.891;0;0.851;258.578;;;;29.53352458;2.694437868;0.33804256;73834851.86;115222338.6;41387486.77;33214483735;63778136057;30563652322
Hydrogen;all;29917124619;4117335540;0;18427795564;1704287488;8861316887;3193610860;0;34383789.01;41173355.4;6789566.395;40945589.04;-6561800.032;0;28431.506;29888732952;29917124619;28391667.43;costs;optimal;0;0;0;0.922697618;0.922768858;-2506417000;-91519790.52;27.38661193;10.92337627;1096.097454;0.284707954;62.86635551;267.7432556;3.234457327;0;1.101769031;134.4490367;76.78804593;0.014726633;25.32419456;150.3782626;0.940279595;;;69.47093927;0.144762546;6.616985129;1.41489E-12;;42811.90277;21753.11985;19979.23095;0;0;1921.253535;62.49532566;89994.178;89.482;662.01;17.042;0.981953114;11.891;0;0.851;258.578;;;117.8068543;28.21092423;2.793613754;0;75006546.9;116179902.3;41173355.4;33742180468;63659305087;29917124619
Synergies;All;24281481590;2464922561;0;15194470313;2564412962;5261013706;1203337953;0;22090948.07;24649225.61;2558277.538;24632428.15;-2541480.079;0;276001.531;24280934044;24281481590;547546.1564;costs;optimal;0;0;0;0.74888431;0.825131913;-8142060030;-103812631.5;78.43034081;9.781975328;1097.238855;0.020996824;23.68775498;168.2836463;92.03256096;0;0.174575752;80.17865618;76.56139059;0.003404;28.36883211;153.3939416;0.940279595;0;6.15416E-16;24.1321973;0;0.439997889;1.12984E-15;2697.002904;42811.90277;38976.88846;19979.23095;0;0;0;39.77605139;89994.178;89.482;662.01;17.042;31.46115778;11.891;0;0.851;258.578;0;0;9.946296987;11.9709221;0;0;79237835.76;103887061.4;24649225.61;35647827598;59929309187;24281481590
Hydrogen;no hydrogen onshore;30461407524;4582731416;0;15830817218;1655752314;9843254650;1451148073;0;42742196.21;45827314.16;3085117.95;45591847.45;-2849651.249;0;34315.958;30384860682;30461407524;76546842.85;costs;optimal;0;0;0;0.939484276;0.989156226;-1962134095;-83161383.32;23.5942937;25.69472113;1081.326109;0.294333377;28.56590695;214.5751632;5.319422804;0;1.231603993;146.254437;71.46175971;0.017316412;25.61934271;150.243183;0.940279595;;;;0.166380016;2.460654009;30.4011992;;42811.90277;20294.90503;19979.23095;1337.545257;0;1409.631182;56.44527536;89994.178;89.482;662.01;17.042;1.6149305;11.891;0;0.851;258.578;;;64.35769413;;2.858829417;9.807665438;78710995.35;124538309.5;45827314.16;35410554286;65871961811;30461407524
